zipcode,lat,lng,city,state_id,state_name,zcta,parent_zcta,population_zip,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
8310,39.52712,-74.89543,Buena,NJ,New Jersey,TRUE,,1270,57.1,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8311,39.32769,-75.20981,Cedarville,NJ,New Jersey,TRUE,,2252,28.8,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8312,39.66131,-75.0802,Clayton,NJ,New Jersey,TRUE,,8261,523.3,34015,Gloucester,{'34015':100},Gloucester,34015,FALSE,FALSE,America/New_York
8314,39.21814,-74.94234,Delmont,NJ,New Jersey,TRUE,,3020,74.1,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8316,39.27321,-74.96124,Dorchester,NJ,New Jersey,TRUE,,384,41,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8317,39.40409,-74.82827,Dorothy,NJ,New Jersey,TRUE,,1579,72,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8318,39.55629,-75.17636,Elmer,NJ,New Jersey,TRUE,,12219,61.6,34033,Salem,"{'34011':1.55,'34033':98.45}",Salem|Cumberland,34033|34011,FALSE,FALSE,America/New_York
8319,39.36864,-74.81692,Estell Manor,NJ,New Jersey,TRUE,,1159,34.3,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8320,39.3851,-75.16059,Fairton,NJ,New Jersey,TRUE,,1091,1148.4,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8321,39.22092,-75.14182,Fortescue,NJ,New Jersey,TRUE,,147,10.2,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8322,39.61419,-75.0352,Franklinville,NJ,New Jersey,TRUE,,10859,141.8,34015,Gloucester,{'34015':100},Gloucester,34015,FALSE,FALSE,America/New_York
8323,39.39557,-75.36605,Greenwich,NJ,New Jersey,TRUE,,613,17.4,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8324,39.21679,-74.99635,Heislerville,NJ,New Jersey,TRUE,,282,23.9,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8326,39.53767,-74.92828,Landisville,NJ,New Jersey,TRUE,,1498,197.2,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8327,39.24963,-74.98213,Leesburg,NJ,New Jersey,TRUE,,3087,222.6,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8328,39.57839,-75.05919,Malaga,NJ,New Jersey,TRUE,,1239,248.8,34015,Gloucester,{'34015':100},Gloucester,34015,FALSE,FALSE,America/New_York
8329,39.27732,-75.00191,Mauricetown,NJ,New Jersey,TRUE,,248,37.4,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
